title,cve_str_list,CVSS,RF,Detec,Comment,Refs
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-0286,8.2,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-0767,8.8,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-0803,6.1,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-2650,6.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-26965,5.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-2731,5.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-2908,5.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-30774,5.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-32681,6.1,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-3316,5.9,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-3446,3.7,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-37536,8.2,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-40745,6.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-4421,6..5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-4759,8.8,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
